city,year,weekofyear,total_cases
sj,2008,18,23
sj,2008,19,23
sj,2008,20,23
sj,2008,21,26
sj,2008,22,21
sj,2008,23,24
sj,2008,24,26
sj,2008,25,30
sj,2008,26,36
sj,2008,27,37
sj,2008,28,38
sj,2008,29,33
sj,2008,30,35
sj,2008,31,40
sj,2008,32,37
sj,2008,33,50
sj,2008,34,48
sj,2008,35,49
sj,2008,36,54
sj,2008,37,64
sj,2008,38,60
sj,2008,39,51
sj,2008,40,47
sj,2008,41,50
sj,2008,42,40
sj,2008,43,42
sj,2008,44,38
sj,2008,45,32
sj,2008,46,43
sj,2008,47,38
sj,2008,48,37
sj,2008,49,27
sj,2008,50,20
sj,2008,51,18
sj,2008,52,21
sj,2009,1,20
sj,2009,2,19
sj,2009,3,19
sj,2009,4,19
sj,2009,5,18
sj,2009,6,21
sj,2009,7,16
sj,2009,8,15
sj,2009,9,17
sj,2009,10,14
sj,2009,11,16
sj,2009,12,21
sj,2009,13,17
sj,2009,14,17
sj,2009,15,19
sj,2009,16,16
sj,2009,17,15
sj,2009,18,16
sj,2009,19,18
sj,2009,20,16
sj,2009,21,24
sj,2009,22,23
sj,2009,23,40
sj,2009,24,31
sj,2009,25,31
sj,2009,26,36
sj,2009,27,33
sj,2009,28,36
sj,2009,29,39
sj,2009,30,43
sj,2009,31,44
sj,2009,32,44
sj,2009,33,41
sj,2009,34,43
sj,2009,35,46
sj,2009,36,52
sj,2009,37,45
sj,2009,38,48
sj,2009,39,44
sj,2009,40,42
sj,2009,41,51
sj,2009,42,51
sj,2009,43,53
sj,2009,44,50
sj,2009,45,39
sj,2009,46,36
sj,2009,47,38
sj,2009,48,44
sj,2009,49,45
sj,2009,50,32
sj,2009,51,32
sj,2009,52,29
sj,2010,53,27
sj,2010,1,25
sj,2010,2,25
sj,2010,3,23
sj,2010,4,26
sj,2010,5,26
sj,2010,6,18
sj,2010,7,19
sj,2010,8,24
sj,2010,9,24
sj,2010,10,36
sj,2010,11,28
sj,2010,12,27
sj,2010,13,32
sj,2010,14,27
sj,2010,15,26
sj,2010,16,19
sj,2010,17,32
sj,2010,18,47
sj,2010,19,40
sj,2010,20,35
sj,2010,21,39
sj,2010,22,43
sj,2010,23,63
sj,2010,24,56
sj,2010,25,49
sj,2010,26,51
sj,2010,27,55
sj,2010,28,57
sj,2010,29,60
sj,2010,30,55
sj,2010,31,55
sj,2010,32,53
sj,2010,33,59
sj,2010,34,57
sj,2010,35,59
sj,2010,36,61
sj,2010,37,62
sj,2010,38,60
sj,2010,39,55
sj,2010,40,52
sj,2010,41,58
sj,2010,42,63
sj,2010,43,47
sj,2010,44,37
sj,2010,45,39
sj,2010,46,46
sj,2010,47,33
sj,2010,48,21
sj,2010,49,21
sj,2010,50,28
sj,2010,51,27
sj,2011,52,23
sj,2011,1,11
sj,2011,2,17
sj,2011,3,22
sj,2011,4,18
sj,2011,5,17
sj,2011,6,12
sj,2011,7,12
sj,2011,8,12
sj,2011,9,13
sj,2011,10,12
sj,2011,11,12
sj,2011,12,17
sj,2011,13,10
sj,2011,14,16
sj,2011,15,19
sj,2011,16,11
sj,2011,17,15
sj,2011,18,14
sj,2011,19,21
sj,2011,20,15
sj,2011,21,24
sj,2011,22,37
